title,tier,about,username,link,subscribers,density,is_stock
버틀러 - 증권사 리포트 요약,증권사,국내 증권사가 발행한 기업분석 보고서를 요약하여 제공합니다. https://www.but…,butler_works,https://t.me/butler_works,10061,1.0,1
AWAKE - 실시간 주식 공시 정리채널,정보,"매일 쏟아지는 방대한 전자공시 중, * 꼭 필요한 공시만 선별해 * 중요한 항목만 쉽게…",darthacking,https://t.me/darthacking,62513,0.9875,1
주붕이의 리포트읽기 🔕,리서치,주붕이가 읽어주는 아무말 리포트 리뷰,jubung,https://t.me/jubung,1967,0.9875,1
[ IT는 SK ],정보,"최도연, 박형우, 한동희, 이동주, 박제민 (SK증권)",skitteam,https://t.me/skitteam,12849,0.9855,1
[키움 전기전자/디스플레이 김소원],증권사,,kiwoomdisplay,https://t.me/kiwoomdisplay,2084,0.9538,1
매경 자이앤트| MK,정보,매일경제 공식 국내 증권·투자 전문 텔레그램 채널 ‘자이앤트’ ▲ 국내 상장 기업 중요…,mk_giant,https://t.me/mk_giant,3440,0.918,1
[미래 임희석] 인터넷/SW/게임,증권사,세상의 수많은 트렌드에 대해 관심이 많습니다. 종목에 대한 투자 의견은 발간 완료된 보고…,mirae_internet,https://t.me/mirae_internet,7763,0.9178,1
[신한 리서치본부] 제약/바이오,증권사,"안녕하세요. 신한투자증권 제약/바이오 담당 엄민용 연구위원, 이호철 수석연구원, 윤석현…",bio_shinhan,https://t.me/bio_shinhan,21232,0.9077,1
[노다지IR노트] 컨콜/탐방/주담통화,정보,<노다지 IR노트> 채널은 '누구에게나 제공되어야 할 공정한 정보'를 지향하며 특별한 지…,irnote_ystreet,https://t.me/irnote_ystreet,6165,0.8657,1
[미래에셋증권 전기전자/IT하드웨어 박준서],증권사,안녕하세요 미래에셋증권 전기전자/IT하드웨어 담당 박준서입니다. 투자 판단에 도움되는 데…,miraeelec,https://t.me/miraeelec,3847,0.8529,1
건설/조선/리츠 | 강경태 | 한국투자증권,증권사,건설과 조선 업종 자료 공유,enc210406,https://t.me/enc210406,8990,0.8462,1
"DB증권 Tech 서승연, 조현지",증권사,,DBsecTech,https://t.me/DBsecTech,4623,0.8413,1
YIG,정보,YIG(Yonsei Investment Group)는 2003년에 설립된 연세대학교 유일…,yigreport,https://t.me/yigreport,4611,0.8182,1
[한투 테크팀] 채민숙/남채민/황준태/김정찬/김연준,증권사,,KISemicon,https://t.me/KISemicon,13556,0.8077,1
DAOL 조선/기계/방산 | 최광식,증권사,"컴플 보고서, 뉴스, 그림을 공유합니다",HI_GS,https://t.me/HI_GS,16465,0.7397,1
디일렉(THEELEC),정보,전자부품 전문 뉴스 미디어 디일렉,theelec,https://t.me/theelec,10390,0.7125,1
시장 이야기 by 제이슨,정보,이 채널의 모든 내용들은 투자의 아이디어를 제공하는 것이지 직접 매수매도 추천을 드리는것…,bumgore,https://t.me/bumgore,34439,0.7021,1
스몰인사이트리서치,리서치,스몰인사이트리서치 텔레그램 행동주의 독립 리서치 small insight Research…,smallinsightresearch,https://t.me/smallinsightresearch,4533,0.6986,1
한양증권 제약/바이오 오병용,증권사,바이오는 한양 공식 리포트 이외의 내용은 매수매도 추천 아닙니다. 뉴스와 개인생각입니다.…,bdragon0808,https://t.me/bdragon0808,13129,0.6883,1
"[메리츠 Tech 김선우, 양승수, 김동관]",증권사,"메리츠 Tech 섹터 애널리스트 김선우, 양승수, 김동관입니다. 아래와 같은 내용이 본…",merITz_tech,https://t.me/merITz_tech,19412,0.6818,1
하나증권 IT 전기전자/부품 김민경,증권사,,hanaitmk,https://t.me/hanaitmk,1409,0.675,1
메리츠증권 리서치,증권사,공표된 리서치 내용을 공유하는 채널입니다,meritz_research,https://t.me/meritz_research,25591,0.6596,1
SK증권 조선/방산 한승한,증권사,,SKSCyclical,https://t.me/SKSCyclical,4492,0.6538,1
빠르고 정확한 주식정보방,찌라시,넘쳐나는 뉴스속에서 알짜배기만 빠르게 전달 드립니다. 모든 컨텐츠에는 오류가 있을수 있고…,fastest_info1,https://t.me/fastest_info1,12083,0.6508,1
딘스티커 Dean's Ticker,정보,"온갖 시장, 섹터, 종목을 다룹니다 ▶️ 문의 : deansticker2025@gmail…",d_ticker,https://t.me/d_ticker,13305,0.6125,1
탐방왕,정보,주식왕 탐방왕 투자에 필요한 최소한의 펀더멘탈,tambangwang,https://t.me/tambangwang,10180,0.5844,1
쩜상리서치,리서치,*본 채널은 주식 리딩 및 종목 추천하는 방이 아닙니다. 본 채널 운영에 영리를 추구하지…,upper_limit_price,https://t.me/upper_limit_price,7887,0.5811,1
타점 읽어주는 여자(타자),정보,,tazastock,https://t.me/tazastock,37834,0.5733,1
주식창고X투자버튼,정보,모든 개인투자자가 부자가 될 수 있도록 🔥 급등주 정보부터 시대를 읽은 뉴스해석까지 돈…,JCxTB,https://t.me/JCxTB,5753,0.5696,1
우주방산AI로봇 아카이브,정보,본 채널 정보는 참고용이며 투자권유·비방 목적이 아닙니다. 운영자는 게시 종목을 보유·매…,defence_24,https://t.me/defence_24,9296,0.557,1
[미래에셋 글로벌/한국 ETF] 윤재홍,증권사,"ETF를 통해 글로벌 자산 시장을 바라봅니다. [ETF의 모든 것] #글로벌 ETF, #…",qooowooo,https://t.me/qooowooo,6607,0.5397,1
[찌라시!] 가장 빠른 찌라시,찌라시,가장 빠른 증권가 주식 찌라시 채널방 [안드로이드 찌라시 앱] 사용자 차단 등 다양한 기…,stockinfojji,https://t.me/stockinfojji,3566,0.5375,1
퀀텀 알고리즘,정보,"퀀텀 알고리즘 채널은 퀀텀 알고리즘으로 주도업종 파악, 실적 우량주 매수 타이밍 포착,…",quantum_ALGO,https://t.me/quantum_ALGO,7308,0.5224,1
고려대학교 가치투자 동아리 KUVIC,정보,KUVIC의 리포트를 올리는 채널입니다.,ku_kuvic,https://t.me/ku_kuvic,4044,0.5116,1
에테르의 일본&미국 리서치,리서치,"일본, 미국을 중심으로 관심있는 정보를 저장하는 곳입니다. 한국에서 잘 보지 못하는 일본…",aetherjapanresearch,https://t.me/aetherjapanresearch,29644,0.4697,1
뺀지뤼의 SKLab.(스크랩),정보,아는 것 없고 인사이트 없고 주식도 못해서 다른 분들의 좋은 자료들을 엄선해서 스크랩하는…,bbanjil,https://t.me/bbanjil,10686,0.4595,1
석학들의 마켓 (인)사이트,정보,인공지능과 함께라면 너도 석학이다. 石石石石石石 검증은 내가 해줄게. 레거시 언론 및 리…,getfeed,https://t.me/getfeed,7967,0.4521,1
주식과 부동산,정보,Stock & Real Estate News/Info. Scrap (관리자 5人) 해당…,slowstockT,https://t.me/slowstockT,3652,0.4487,1
범송공자 X 29PER,정보,"범송공자의 세상읽기 블로그 운영 매일경제TV, 삼프로TV 고정 패널",bumsong2,https://t.me/bumsong2,12805,0.4359,1
루팡,정보,루팡 Invest,bornlupin,https://t.me/bornlupin,42488,0.4286,1
트리플 아이 - Insight Information Indepth,리서치,고퀄리티 주식정보방 - Insight Information Indepth 본 채널에서 언…,triple_stock,https://t.me/triple_stock,12063,0.4286,1
Yeouido Lab_여의도 톺아보기,정보,前 헤지펀드 매니저와 前 애널리스트의 여의도 톺아보기. 기관투자자의 깊이있는 인사이트로…,Yeouido_Lab,https://t.me/Yeouido_Lab,42001,0.4156,1
호그니엘,정보,,hogniel,https://t.me/hogniel,14106,0.411,1
강해령의 테크앤더시티,정보,,technthecity,https://t.me/technthecity,7745,0.4107,1
야자반 - Y.Z. stock,정보,주식투자,yaza_stock,https://t.me/yaza_stock,12638,0.4091,1
